ID	Species	Culture collection number	Isolation source	Country	Continent	Category 1	Category 2	Category 3	joined_1_2
2	Acetobacter aceti	DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828	Food, Alcohol vinegar###Beech-wood shavings of vinegar plant###alcohol turned to vinegar			Environmental###Engineered###Environmental###Engineered###Environmental###Engineered###Environmental###Engineered	Microbial community###Food production###Microbial community###Food production###Microbial community###Food production###Microbial community###Food production		Environmental@@@Microbial community###Engineered@@@Food production
4	Acetobacter pasteurianus	DSM 3509, ATCC 33445, LMD 22.1, JCM 7640, BCRC 14145, CCM 2374, CCUG 18125, CGMCC 1.1810, CIP 103108, ICMP 8808, LMG 1262, NBRC 106471, NCCB 22001, NCIMB 12228, VTT E-97830, IMET 10733	Food, Beer###beer			Host Body-Site###Host###Engineered###Engineered###Host Body-Site###Host###Engineered###Engineered###Host Body-Site###Host###Engineered###Engineered	Plant###Plants###Food production###Food production###Plant###Plants###Food production###Food production###Plant###Plants###Food production###Food production	Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage###Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage###Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage	Host@@@Plants###Host Body-Site@@@Plant###Engineered@@@Food production
8	Acetobacter orleanensis	DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463	Belgian bottled beer###beer	Belgium	Europe	Host Body-Site###Host###Engineered###Engineered###Host Body-Site###Host###Engineered###Engineered###Host Body-Site###Host###Engineered###Engineered	Plant###Plants###Food production###Food production###Plant###Plants###Food production###Food production###Plant###Plants###Food production###Food production	Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage###Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage###Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage	Host@@@Plants###Host Body-Site@@@Plant###Engineered@@@Food production
9	Acetobacter lovaniensis	DSM 4491, ATCC 12875, CCUG 18127, IMET 10734, JCM 17121, LMD 31.2, LMG 1579, LMG 1617, NCIMB 8620, CCM 3606, ICMP 8610, IFO 13753, NBRC 13753, NCCB 31002	Sewage on soil###soil	Belgium	Europe	Environmental###Environmental	Terrestrial###Terrestrial	Soil###Soil	Environmental@@@Terrestrial
10	Acetobacter estunensis	DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751	Apple juice or cider or associated equipment###cider making	United Kingdom	Europe	Engineered###Engineered###Engineered###Engineered###Engineered###Engineered	Food production###Industrial###Food production###Food production###Industrial###Food production	Beverage###Fermented###Beverage###Fermented	Engineered@@@Food production###Engineered@@@Industrial
11	Acetobacter pomorum	DSM 11825, LTH 2458, CIP 105762	Food, Apple vinegar###industrial cider vinegar fermentation	Germany	Europe	Engineered###Engineered###Engineered###Engineered###Engineered###Engineered###Engineered###Engineered###Engineered	Food production###Industrial###Food production###Food production###Industrial###Food production###Food production###Industrial###Food production	Beverage###Fermented###Beverage###Fermented###Beverage###Fermented	Engineered@@@Food production###Engineered@@@Industrial
12	Acetobacter cerevisiae	DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461	Beer###beer (ale) in storage	Canada	North America	Engineered###Engineered###Engineered###Engineered###Engineered###Engineered	Food production###Food production###Food production###Food production###Food production###Food production	Beverage###Fermented###Beverage###Fermented###Beverage###Fermented	Engineered@@@Food production
13	Acetobacter malorum	DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462	Food, Rotting apple###rotting apple	Belgium	Europe	Host Body-Site###Host Body-Site###Host###Host Body-Site###Host Body-Site###Host###Host Body-Site###Host Body-Site###Host	Plant###Plant###Plants###Plant###Plant###Plants###Plant###Plant###Plants	Fruit (Seed)###Bark###Decomposing plant###Fruit (Seed)###Bark###Decomposing plant###Fruit (Seed)###Bark###Decomposing plant	Host@@@Plants###Host Body-Site@@@Plant
14	Acetobacter syzygii	DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378	Food, Fruit, Malay rose apple###Fruit of Malay rose apple (<I>Syzygium malaccense</I>)###fruit of Malay rose apple, <I>Syzygium malaccense</I>	Indonesia	Asia	Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants###Plant###Plants	Fruit (Seed)###Tree###Fruit (Seed)###Tree###Fruit (Seed)###Tree	Host@@@Plants###Host Body-Site@@@Plant
15	Acetobacter cibinongensis	DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380	Mountain soursop###Mountain soursop (<I>Annona montanae</I>)###fruit of montain soursop, <I>Annona montanae</I>	Indonesia	Asia	Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants###Plant###Plants	Fruit (Seed)###Tree###Fruit (Seed)###Tree###Fruit (Seed)###Tree	Host@@@Plants###Host Body-Site@@@Plant
16	Acetobacter orientalis	DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379, JCM 1195	Canna flower###Canna flower (<I>Canna hybrida</I>)###canna flower, <I>Canna hybrida</I>	Indonesia	Asia	Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants###Plant###Plants	Flower###Herbaceous plants (Grass,Crops)###Flower###Herbaceous plants (Grass,Crops)###Flower###Herbaceous plants (Grass,Crops)	Host@@@Plants###Host Body-Site@@@Plant
