			seq id	start	end	size	←reads	reads→	gene	description	source
('*', 'evidence/MC_SIDE_1_118.html')	('*', 'evidence/MC_SIDE_2_118.html')	('÷', 'evidence/MC_PLOT_118.html')	PA1101	1	117	117	NA [0]	[41] 43	–/fliF	–/flagellar MS‑ring protein	SRR32385933
('*', 'evidence/MC_SIDE_1_119.html')	('*', 'evidence/MC_SIDE_2_119.html')	('÷', 'evidence/MC_PLOT_119.html')	PA1101	3523	3597	75	42 [41]	[0] NA	fliF/–	flagellar MS‑ring protein/–	SRR32385933
('*', 'evidence/MC_SIDE_1_120.html')	('*', 'evidence/MC_SIDE_2_120.html')	('÷', 'evidence/MC_PLOT_120.html')	PA3146	1–1741	1741	1–1741	NA [0]	[41] 43	[wbpK]	[wbpK]	SRR32385933
('*', 'evidence/MC_SIDE_1_122.html')	('*', 'evidence/MC_SIDE_2_122.html')	('÷', 'evidence/MC_PLOT_122.html')	PA3148	1160–2863	2865	3–1706	40 [39]	[0] NA	[wbpI]	[wbpI]	SRR32385933
('*', 'evidence/MC_SIDE_1_123.html')	('*', 'evidence/MC_SIDE_2_123.html')	('÷', 'evidence/MC_PLOT_123.html')	PA3565	2582	2721	140	53 [52]	[0] NA	N_A/–	transcriptional regulator/–	SRR32385933
('*', 'evidence/MC_SIDE_1_118.html')	('*', 'evidence/MC_SIDE_2_118.html')	('÷', 'evidence/MC_PLOT_118.html')	PA1101	1	48	48	NA [0]	[11] 12	–/fliF	–/flagellar MS‑ring protein	SRR27501784
('*', 'evidence/MC_SIDE_1_119.html')	('*', 'evidence/MC_SIDE_2_119.html')	('÷', 'evidence/MC_PLOT_119.html')	PA1434	666	1006	341	14 [13]	[13] 14	[N_A]	[N_A]	SRR27501784
('*', 'evidence/MC_SIDE_1_124.html')	('*', 'evidence/MC_SIDE_2_124.html')	('÷', 'evidence/MC_PLOT_124.html')	PA3177	1	78	78	NA [0]	[13] 16	–/N_A	–/hypothetical protein	SRR27501784
('*', 'evidence/MC_SIDE_1_125.html')	('*', 'evidence/MC_SIDE_2_125.html')	('÷', 'evidence/MC_PLOT_125.html')	PA3565	1	12	12	NA [0]	[2] 6	–/N_A	–/transcriptional regulator	SRR27501784
('*', 'evidence/MC_SIDE_1_126.html')	('*', 'evidence/MC_SIDE_2_126.html')	('÷', 'evidence/MC_PLOT_126.html')	PA3565	2677	2721	45	6 [5]	[0] NA	N_A/–	transcriptional regulator/–	SRR27501784
('*', 'evidence/MC_SIDE_1_127.html')	('*', 'evidence/MC_SIDE_2_127.html')	('÷', 'evidence/MC_PLOT_127.html')	PA4601	1	37	37	NA [0]	[8] 11	–/morA	–/motility regulator	SRR27501784
('*', 'evidence/MC_SIDE_1_128.html')	('*', 'evidence/MC_SIDE_2_128.html')	('÷', 'evidence/MC_PLOT_128.html')	PA4601	6019	6048	30	13 [10]	[0] NA	morA/–	motility regulator/–	SRR27501784
('*', 'evidence/MC_SIDE_1_118.html')	('*', 'evidence/MC_SIDE_2_118.html')	('÷', 'evidence/MC_PLOT_118.html')	PA1101	1	31	31	NA [0]	[2] 4	–/fliF	–/flagellar MS‑ring protein	SRR6977054
('*', 'evidence/MC_SIDE_1_119.html')	('*', 'evidence/MC_SIDE_2_119.html')	('÷', 'evidence/MC_PLOT_119.html')	PA1101	150	291	142	3 [1]	[2] 4	–/fliF	–/flagellar MS‑ring protein	SRR6977054
('*', 'evidence/MC_SIDE_1_120.html')	('*', 'evidence/MC_SIDE_2_120.html')	('÷', 'evidence/MC_PLOT_120.html')	PA1101	340	405	66	4 [1]	[0] 3	–/fliF	–/flagellar MS‑ring protein	SRR6977054
('*', 'evidence/MC_SIDE_1_121.html')	('*', 'evidence/MC_SIDE_2_121.html')	('÷', 'evidence/MC_PLOT_121.html')	PA1101	1608	1633	26	5 [1]	[1] 4	fliF	flagellar MS‑ring protein	SRR6977054
('*', 'evidence/MC_SIDE_1_122.html')	('*', 'evidence/MC_SIDE_2_122.html')	('÷', 'evidence/MC_PLOT_122.html')	PA1101	1792	1897	106	6 [0]	[2] 3	fliF	flagellar MS‑ring protein	SRR6977054
('*', 'evidence/MC_SIDE_1_123.html')	('*', 'evidence/MC_SIDE_2_123.html')	('÷', 'evidence/MC_PLOT_123.html')	PA1434	1	15	15	NA [0]	[0] 6	–/N_A	–/hypothetical protein	SRR6977054
('*', 'evidence/MC_SIDE_1_124.html')	('*', 'evidence/MC_SIDE_2_124.html')	('÷', 'evidence/MC_PLOT_124.html')	PA1434	95	155	61	2 [1]	[0] 3	–/N_A	–/hypothetical protein	SRR6977054
('*', 'evidence/MC_SIDE_1_125.html')	('*', 'evidence/MC_SIDE_2_125.html')	('÷', 'evidence/MC_PLOT_125.html')	PA1434	597	618	22	3 [1]	[1] 3	–/N_A	–/hypothetical protein	SRR6977054
('*', 'evidence/MC_SIDE_1_126.html')	('*', 'evidence/MC_SIDE_2_126.html')	('÷', 'evidence/MC_PLOT_126.html')	PA1434	710	755	46	2 [1]	[1] 2	–/N_A	–/hypothetical protein	SRR6977054
('*', 'evidence/MC_SIDE_1_127.html')	('*', 'evidence/MC_SIDE_2_127.html')	('÷', 'evidence/MC_PLOT_127.html')	PA1434	1248	1367	120	7 [1]	[1] 2	N_A	hypothetical protein	SRR6977054
('*', 'evidence/MC_SIDE_1_128.html')	('*', 'evidence/MC_SIDE_2_128.html')	('÷', 'evidence/MC_PLOT_128.html')	PA1434	1483	1556	74	2 [1]	[1] 5	N_A	hypothetical protein	SRR6977054
('*', 'evidence/MC_SIDE_1_129.html')	('*', 'evidence/MC_SIDE_2_129.html')	('÷', 'evidence/MC_PLOT_129.html')	PA1434	1800	1808	9	3 [1]	[0] 2	N_A/–	hypothetical protein/–	SRR6977054
('*', 'evidence/MC_SIDE_1_130.html')	('*', 'evidence/MC_SIDE_2_130.html')	('÷', 'evidence/MC_PLOT_130.html')	PA1434	2107	2147	41	2 [1]	[1] 2	N_A/–	hypothetical protein/–	SRR6977054
('*', 'evidence/MC_SIDE_1_135.html')	('*', 'evidence/MC_SIDE_2_135.html')	('÷', 'evidence/MC_PLOT_135.html')	PA3177	1	116	116	NA [0]	[1] 2	–/N_A	–/hypothetical protein	SRR6977054
('*', 'evidence/MC_SIDE_1_136.html')	('*', 'evidence/MC_SIDE_2_136.html')	('÷', 'evidence/MC_PLOT_136.html')	PA3177	450	497	48	2 [0]	[1] 2	–/N_A	–/hypothetical protein	SRR6977054
('*', 'evidence/MC_SIDE_1_137.html')	('*', 'evidence/MC_SIDE_2_137.html')	('÷', 'evidence/MC_PLOT_137.html')	PA3177	1890	1973	84	3 [0]	[1] 2	N_A/–	hypothetical protein/–	SRR6977054
('*', 'evidence/MC_SIDE_1_138.html')	('*', 'evidence/MC_SIDE_2_138.html')	('÷', 'evidence/MC_PLOT_138.html')	PA3177	2135	2164	30	2 [1]	[1] 2	N_A/–	hypothetical protein/–	SRR6977054
('*', 'evidence/MC_SIDE_1_139.html')	('*', 'evidence/MC_SIDE_2_139.html')	('÷', 'evidence/MC_PLOT_139.html')	PA3177	2354	2612	259	3 [1]	[1] 2	N_A/–	hypothetical protein/–	SRR6977054
('*', 'evidence/MC_SIDE_1_140.html')	('*', 'evidence/MC_SIDE_2_140.html')	('÷', 'evidence/MC_PLOT_140.html')	PA3177	2619	2724	106	2 [1]	[0] NA	N_A/–	hypothetical protein/–	SRR6977054
('*', 'evidence/MC_SIDE_1_141.html')	('*', 'evidence/MC_SIDE_2_141.html')	('÷', 'evidence/MC_PLOT_141.html')	PA3565	1046	1073	28	2 [1]	[1] 2	N_A	transcriptional regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_142.html')	('*', 'evidence/MC_SIDE_2_142.html')	('÷', 'evidence/MC_PLOT_142.html')	PA3565	1352	1406	55	5 [1]	[1] 2	N_A	transcriptional regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_143.html')	('*', 'evidence/MC_SIDE_2_143.html')	('÷', 'evidence/MC_PLOT_143.html')	PA3565	1586	1803	218	3 [1]	[1] 3	N_A	transcriptional regulator	SRR6977054
('*', 'evidence/MC_SIDE_1_144.html')	('*', 'evidence/MC_SIDE_2_144.html')	('÷', 'evidence/MC_PLOT_144.html')	PA3565	1854	1932	79	3 [1]	[0] 2	N_A/–	transcriptional regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_145.html')	('*', 'evidence/MC_SIDE_2_145.html')	('÷', 'evidence/MC_PLOT_145.html')	PA3565	1982	2043	62	3 [1]	[1] 3	N_A/–	transcriptional regulator/–	SRR6977054
('*', 'evidence/MC_SIDE_1_146.html')	('*', 'evidence/MC_SIDE_2_146.html')	('÷', 'evidence/MC_PLOT_146.html')	PA3565	2094	2233	140	3 [1]	[0] 2	N_A/–	transcriptional regulator/–	SRR6977054
